host_id,edge_id,source_ip_risk,destination_ip_risk,vulnerability_score,privilege_level,connection_type,anomaly_score,failed_login_attempts,suspicious_process,lateral_movement
175,305,0.868959105,0.234448849,9,low,ssh,0.042613288,1,0,0
131,451,0.904452812,0.731607944,7,medium,rdp,0.609792577,2,0,1
1,7,0.000747708,0.256897806,0,low,api,0.523413827,16,1,0
5,314,0.594136391,0.175202363,3,low,api,0.783435469,7,1,0
142,305,0.719300609,0.690668015,3,medium,ssh,0.028888172,19,0,1
103,103,0.618746982,0.842787246,5,low,rdp,0.780847345,14,0,1
27,309,0.081679765,0.481539448,1,low,ssh,0.520877046,12,0,0
137,193,0.217724899,0.531391793,6,high,api,0.370529333,18,0,0
15,241,0.250340267,0.30274757,4,high,api,0.965382976,0,0,0
90,62,0.831724631,0.494618015,9,low,api,0.160119547,11,1,1
42,17,0.463199436,0.131982998,5,low,api,0.541325119,17,0,0
124,171,0.486828212,0.95583083,5,medium,rdp,0.320981474,17,0,1
179,25,0.934893047,0.800360654,5,medium,smb,0.527486379,2,0,1
63,251,0.637085889,0.667973061,9,low,smb,0.552275453,17,0,1
96,253,0.898667702,0.538194372,7,medium,rdp,0.089448248,16,0,1
52,387,0.456508855,0.792169136,9,high,ssh,0.661135147,10,0,1
96,207,0.149436259,0.49475724,3,low,api,0.634481496,4,1,0
132,29,0.929935594,0.299973908,9,high,api,0.769467275,6,0,1
151,117,0.458705116,0.160374235,7,high,api,0.090658494,17,0,0
143,491,0.181631422,0.647585589,8,low,rdp,0.297258547,6,0,0
171,416,0.30239574,0.929425745,3,medium,rdp,0.6501106,17,0,0
29,282,0.05080259,0.153618554,0,low,api,0.136730826,1,0,0
36,380,0.468300591,0.180018045,2,medium,api,0.677598211,5,0,0
13,144,0.853128172,0.433606033,0,medium,ssh,0.059026711,7,0,0
160,25,0.933580456,0.806899348,6,low,smb,0.334931553,16,0,1
71,310,0.932602208,0.293922729,0,medium,rdp,0.846711122,3,0,0
187,156,0.125230026,0.253912925,3,medium,smb,0.77429129,16,1,0
86,73,0.382053883,0.619966291,0,low,api,0.644760715,15,0,0
28,120,0.02822876,0.535614782,1,low,smb,0.870458417,14,0,0
66,312,0.855165345,0.060220364,0,low,smb,0.709269544,14,0,0
170,321,0.358755762,0.081489977,4,medium,rdp,0.519375105,7,0,0
45,93,0.631117028,0.64301298,6,high,rdp,0.9797175,16,0,1
62,86,0.714898438,0.465123599,2,medium,ssh,0.69485608,18,0,0
185,336,0.42984467,0.970977192,7,low,api,0.601367177,0,1,1
134,425,0.306442337,0.678531411,4,low,ssh,0.408870561,12,0,0
28,499,0.96221291,0.010073662,4,low,rdp,0.902412499,5,0,0
28,364,0.964488225,0.48101878,4,low,ssh,0.295709096,9,0,0
108,435,0.289436368,0.414447935,7,low,smb,0.009219594,0,0,0
44,118,0.479625097,0.10671386,1,low,smb,0.196740522,11,1,0
84,233,0.972844159,0.923208836,1,low,rdp,0.109517492,18,0,1
30,199,0.004868408,0.805011299,7,high,smb,0.318993774,14,0,0
190,206,0.412678248,0.230085908,8,medium,api,0.825878677,4,0,0
75,413,0.10045755,0.255980759,9,medium,rdp,0.651529685,1,0,0
128,339,0.509157966,0.032018053,9,low,api,0.168980589,18,0,0
92,147,0.024669955,0.296717452,1,high,rdp,0.788821721,13,0,0
190,450,0.406898431,0.584622009,3,medium,rdp,0.504219866,8,0,0
129,425,0.220699075,0.420843388,7,high,smb,0.512714624,0,0,0
121,429,0.533308362,0.969255464,1,low,rdp,0.362112181,12,0,1
27,271,0.995993649,0.056080169,3,low,rdp,0.864616365,16,0,0
190,387,0.800536105,0.591430159,9,low,ssh,0.318327304,1,0,0
121,139,0.845642092,0.858309441,0,low,smb,0.094139761,13,0,1
116,181,0.635264987,0.480740912,1,medium,api,0.302728994,19,0,0
3,430,0.041559848,0.002962721,6,high,rdp,0.715353546,5,0,0
103,30,0.206797676,0.2428015,0,low,api,0.657581887,5,0,0
198,57,0.925064556,0.323768976,0,low,ssh,0.188017154,17,0,0
155,232,0.366113118,0.965994495,1,medium,rdp,0.111784299,18,0,0
137,146,0.103636726,0.911773282,3,low,api,0.660865758,8,0,0
62,435,0.702405366,0.949170505,6,medium,smb,0.676376836,14,1,1
165,384,0.299457724,0.825758458,3,medium,ssh,0.366149637,6,0,0
51,48,0.268856913,0.351647734,4,low,ssh,0.842801384,5,0,0
172,194,0.997977456,0.905876422,3,medium,api,0.978205204,4,0,1
152,224,0.858138925,0.981684506,3,low,rdp,0.205645223,18,0,1
59,136,0.407937818,0.350071312,8,high,rdp,0.577068716,19,0,0
118,22,0.980261208,0.260555966,5,medium,smb,0.005346329,0,0,0
160,6,0.650113223,0.546916293,2,high,smb,0.713054396,6,0,0
96,204,0.742022452,0.187152193,5,low,rdp,0.414282114,17,0,0
180,239,0.031513043,0.032624221,6,low,ssh,0.193269227,7,1,0
113,185,0.121605259,0.945831171,6,low,smb,0.752221922,11,0,0
62,360,0.633085126,0.925740632,7,low,smb,0.810648798,9,0,1
186,292,0.899023983,0.162653854,3,high,ssh,0.111166501,5,0,0
52,335,0.623743726,0.407740247,0,low,rdp,0.040995762,15,0,0
12,220,0.134024894,0.831036313,5,medium,api,0.334078442,18,1,1
39,116,0.115760046,0.661000299,7,low,smb,0.625990466,17,0,0
130,313,0.844185896,0.394787509,4,low,ssh,0.793419527,12,0,1
131,49,0.139302339,0.744170997,2,high,smb,0.546062497,19,0,0
113,173,0.520231961,0.897047388,3,low,ssh,0.580748776,6,1,1
101,82,0.03711332,0.926158331,7,medium,smb,0.799858222,6,1,1
113,322,0.080669767,0.378849612,5,low,rdp,0.528843374,15,0,0
184,333,0.672348268,0.17356068,4,high,ssh,0.61115449,9,0,0
81,45,0.68918141,0.912838858,8,medium,api,0.51621734,14,0,1
187,335,0.341469407,0.092555446,9,medium,api,0.880458233,13,0,0
113,20,0.215609765,0.721688391,2,low,smb,0.235516619,11,0,0
2,448,0.813710271,0.140497315,6,low,api,0.263993585,14,0,0
130,221,0.217103229,0.389386855,8,high,smb,0.127961462,7,1,0
54,123,0.54202707,0.411555747,3,high,ssh,0.819466751,6,0,0
87,234,0.968208841,0.158757915,9,low,ssh,0.411777291,8,0,0
129,221,0.147852438,0.922681434,9,low,api,0.347893941,13,0,0
147,323,0.940876267,0.002668168,2,low,api,0.981348717,6,1,0
126,339,0.182893053,0.893808543,0,low,rdp,0.926803366,11,0,0
130,3,0.567443208,0.883829323,8,medium,ssh,0.971987682,13,1,1
53,182,0.377007712,0.316963654,0,low,api,0.142298997,10,0,0
172,206,0.964928602,0.70428427,1,low,api,0.891251813,18,0,1
160,320,0.273542029,0.252808911,8,medium,api,0.328709599,5,0,0
198,40,0.399658002,0.758773562,4,low,smb,0.01265677,2,0,0
160,59,0.982860118,0.561119742,3,medium,rdp,0.391298336,5,0,1
68,439,0.536470391,0.300225454,8,high,ssh,0.509196353,8,1,0
183,62,0.502630116,0.400234754,8,low,api,0.108220424,1,0,0
184,132,0.257778488,0.689888732,1,medium,api,0.537677617,5,0,0
123,60,0.70136356,0.90609745,2,low,api,0.819463584,13,0,1
145,372,0.014372952,0.130726517,2,low,smb,0.377650951,18,0,0
38,331,0.04951263,0.57136397,4,low,ssh,0.352644807,3,0,0
24,122,0.599358587,0.253729199,2,low,api,0.33881042,13,0,0
69,479,0.341674574,0.80137225,9,low,api,0.923094446,9,0,1
116,107,0.953316372,0.070237306,5,low,smb,0.048758099,5,0,0
98,96,0.903190691,0.68895579,1,high,smb,0.445076142,10,0,1
198,347,0.713706259,0.174946014,5,medium,rdp,0.264599454,12,0,0
139,414,0.818145581,0.596385418,5,high,rdp,0.893807025,17,0,1
144,235,0.66733185,0.835692587,1,medium,ssh,0.096052264,19,0,1
97,386,0.125582103,0.755080662,5,low,rdp,0.411442767,13,1,0
124,62,0.76554337,0.752942888,5,low,ssh,0.406816152,19,1,1
187,256,0.210191969,0.517845312,5,low,rdp,0.888394418,19,0,0
70,49,0.323442855,0.890745592,4,low,api,0.215493445,10,0,0
93,393,0.819234212,0.588105198,6,medium,rdp,0.64489541,4,0,1
3,348,0.536525608,0.917517969,4,low,api,0.134406127,7,0,0
148,159,0.859940714,0.546522458,0,low,ssh,0.953975714,3,0,0
187,124,0.21303532,0.505965563,8,low,rdp,0.593014959,11,0,0
164,482,0.607778439,0.222353019,2,low,rdp,0.62625673,5,0,0
147,317,0.083790973,0.544786654,1,low,rdp,0.433773402,7,0,0
90,207,0.643060994,0.140584831,9,low,api,0.342282713,3,1,0
195,48,0.762534038,0.869690201,5,medium,api,0.212676429,19,0,1
147,409,0.584930894,0.675891889,7,low,rdp,0.603987754,9,0,1
148,420,0.266231501,0.993635448,1,medium,ssh,0.954561745,10,0,0
96,136,0.031342669,0.092097428,3,low,api,0.359790954,14,1,0
199,201,0.119448884,0.24067275,1,low,smb,0.883156889,4,1,0
52,250,0.622302979,0.877158604,8,medium,ssh,0.148776313,2,0,1
161,314,0.934420217,0.3952541,9,medium,ssh,0.936126021,14,0,1
168,357,0.206534404,0.46630299,1,low,ssh,0.350486284,1,0,0
128,368,0.735026149,0.860651887,9,high,api,0.379727212,1,0,1
39,429,0.866451063,0.521823225,1,low,rdp,0.462842257,7,0,0
82,318,0.520882178,0.193475849,4,low,rdp,0.71824427,13,0,0
104,295,0.669265796,0.892030115,4,medium,smb,0.719653434,8,0,1
129,480,0.815015317,0.031061656,6,medium,rdp,0.479588585,4,0,0
11,314,0.260675158,0.895396268,0,low,smb,0.523152899,11,0,0
185,209,0.296895674,0.050520227,1,low,smb,0.030010488,9,0,0
178,355,0.000627517,0.665849365,5,high,rdp,0.304296702,0,0,0
151,485,0.963094131,0.07167938,1,low,smb,0.346017074,18,1,0
159,211,0.917544895,0.706212986,3,low,ssh,0.558727269,10,0,1
42,192,0.764568264,0.033971321,9,low,ssh,0.558299767,16,0,0
99,44,0.079076021,0.842457728,5,high,ssh,0.709899798,2,0,0
7,29,0.44750289,0.465943951,6,low,api,0.717027296,0,0,0
144,59,0.101891754,0.093453913,9,medium,smb,0.235210724,16,0,0
90,71,0.015920267,0.706819445,4,medium,smb,0.770187151,5,0,0
112,92,0.616182965,0.489290158,7,low,ssh,0.019603568,12,0,0
60,265,0.960829417,0.190948859,5,medium,api,0.716161885,19,0,1
113,383,0.902868023,0.015672374,4,high,rdp,0.102061104,3,1,0
2,220,0.696754815,0.41799826,3,low,ssh,0.729648208,4,1,1
129,390,0.096640584,0.085629231,5,low,api,0.527118091,14,1,0
48,413,0.274164038,0.094169698,5,high,rdp,0.437254501,13,1,0
140,442,0.320056727,0.267329548,5,medium,api,0.69066639,18,0,0
197,401,0.763150058,0.630458297,0,low,rdp,0.036370834,14,0,0
37,400,0.802249179,0.529910609,5,medium,smb,0.223470326,11,1,1
160,215,0.385106123,0.068987308,0,medium,smb,0.616440142,17,0,0
9,479,0.417883997,0.968431276,4,medium,api,0.847215407,13,0,1
99,387,0.044509039,0.887168688,6,high,api,0.381107637,9,0,0
147,277,0.289136718,0.259225487,0,low,rdp,0.258761473,7,0,0
48,64,0.451285177,0.122338576,0,low,api,0.518736436,3,0,0
131,346,0.116983046,0.942402865,5,medium,api,0.622315252,17,0,0
148,292,0.453267461,0.461141778,6,low,rdp,0.420103031,7,0,0
152,490,0.853175812,0.311166965,5,medium,rdp,0.876710683,3,0,0
54,485,0.58132102,0.490358035,4,low,smb,0.523438709,10,1,1
120,245,0.078929855,0.772744145,5,low,ssh,0.035823588,4,0,0
161,470,0.191671319,0.168385298,2,low,api,0.223053955,9,0,0
152,62,0.47454435,0.767495834,8,medium,rdp,0.450647031,5,0,0
116,426,0.36148715,0.749446788,4,medium,smb,0.697725519,3,0,0
75,332,0.35872702,0.539348205,1,low,ssh,0.219752244,17,0,0
113,170,0.529267448,0.865842289,9,low,api,0.97625744,16,1,1
164,445,0.584395922,0.132143378,9,low,smb,0.318558258,6,0,0
166,269,0.79686157,0.595479007,6,medium,ssh,0.532480207,8,0,1
104,267,0.340966563,0.449343053,2,low,api,0.018966385,2,0,0
84,54,0.805466283,0.422292113,0,medium,smb,0.884890721,8,0,0
112,16,0.338611229,0.252561071,2,low,api,0.788834654,3,0,0
99,8,0.055432989,0.372279657,8,low,ssh,0.195458004,18,0,0
153,104,0.554187651,0.108150756,4,medium,rdp,0.933236691,8,0,0
93,59,0.587902325,0.25159897,6,low,smb,0.315839764,19,0,0
146,313,0.934540246,0.271965108,2,low,ssh,0.692186288,5,0,0
128,40,0.726061326,0.720667867,3,low,api,0.818976318,10,0,1
110,237,0.917772652,0.048550427,0,low,ssh,0.740914461,14,0,0
82,443,0.90834721,0.651192308,2,low,ssh,0.917582784,5,0,1
194,386,0.60457411,0.22140991,6,low,rdp,0.86427476,19,1,1
54,94,0.527762065,0.081861506,3,medium,smb,0.994611514,9,0,0
163,222,0.557440967,0.300806161,1,medium,ssh,0.182611413,17,0,0
189,204,0.978330808,0.224472869,4,medium,rdp,0.304761801,15,0,0
169,138,0.773167692,0.552032376,4,low,rdp,0.636225867,3,0,0
161,300,0.106265905,0.357376403,1,medium,rdp,0.733047186,19,0,0
68,395,0.778428407,0.965993742,5,medium,api,0.534605055,12,0,1
33,207,0.170538049,0.963549599,9,low,rdp,0.073928365,4,0,0
142,336,0.447350549,0.443715269,3,medium,rdp,0.841595227,19,0,0
21,81,0.210459672,0.795087461,0,high,rdp,0.960874356,18,0,0
48,218,0.689583066,0.013268541,2,low,rdp,0.405516844,17,0,0
148,2,0.877309736,0.547811585,8,high,smb,0.224812482,19,0,1
128,178,0.290361885,0.743299172,9,low,smb,0.019313755,16,0,0
136,396,0.082010741,0.216943225,6,low,rdp,0.237299036,15,0,0
135,371,0.298493098,0.061171755,5,low,ssh,0.699918775,0,0,0
195,346,0.672361858,0.155918936,0,medium,api,0.911589388,0,0,0
145,279,0.328760128,0.441848087,8,low,ssh,0.093513066,19,1,0
128,146,0.278112168,0.506371421,8,high,ssh,0.553259187,13,0,0
33,318,0.184435191,0.380885122,0,medium,rdp,0.695531249,1,0,0
176,224,0.497516427,0.439973767,5,medium,ssh,0.276380821,14,0,0
187,369,0.275948828,0.47023496,6,low,smb,0.569897039,2,0,0
115,384,0.731010349,0.769436662,1,high,smb,0.715248426,12,0,1
119,62,0.076622402,0.105241898,9,medium,api,0.837719243,18,0,0
22,294,0.664033033,0.768950467,7,low,smb,0.452499851,0,0,0
158,239,0.237560015,0.688627302,7,medium,smb,0.747857219,12,1,1
38,195,0.489279261,0.741660809,5,medium,rdp,0.301782972,14,0,0
109,166,0.286089922,0.734468386,8,medium,smb,0.213046747,15,0,0
51,451,0.722768676,0.470591816,2,low,ssh,0.187313746,10,0,0
182,222,0.94530704,0.211400185,1,low,ssh,0.358872732,2,0,0
8,61,0.917076779,0.536628904,1,low,smb,0.035879682,7,0,0
27,129,0.583426215,0.957982054,5,low,api,0.282991838,5,0,1
27,478,0.462610303,0.588525681,6,medium,api,0.652222824,4,0,0
21,173,0.818300509,0.011047145,5,high,api,0.647919047,14,0,0
30,480,0.683326363,0.059710905,2,high,smb,0.073553806,8,0,0
97,156,0.183564114,0.992863434,4,medium,api,0.287415617,4,0,0
28,405,0.820919214,0.071946359,7,medium,smb,0.569557665,9,0,0
111,378,0.428884389,0.04604516,5,low,ssh,0.318552138,5,0,0
192,110,0.18898566,0.353024269,1,medium,api,0.417988024,10,0,0
197,269,0.28179735,0.969317203,6,low,api,0.712810757,3,0,0
61,411,0.26752703,0.318675154,7,low,api,0.009266829,19,0,0
48,356,0.519206975,0.409884131,3,medium,ssh,0.276393544,11,0,0
147,391,0.234370091,0.634077061,0,low,smb,0.142372244,19,0,0
4,278,0.123566487,0.024111839,1,low,ssh,0.127609183,5,0,0
35,74,0.123690851,0.897763578,3,medium,ssh,0.959040216,0,0,0
192,487,0.583276197,0.519443018,6,low,rdp,0.376560332,17,0,0
49,437,0.734759289,0.466810906,1,low,api,0.527088585,1,0,0
17,463,0.321533009,0.860726662,5,low,smb,0.733821887,4,0,0
172,207,0.03465071,0.953076589,1,low,smb,0.047447475,15,1,0
158,388,0.127224887,0.423425232,6,low,rdp,0.241022639,11,1,0
46,480,0.91469456,0.172441079,1,medium,rdp,0.832147787,11,0,0
117,279,0.49354366,0.81570927,2,low,ssh,0.861990613,10,0,0
6,375,0.45357281,0.403260421,8,medium,rdp,0.372950921,19,0,0
99,326,0.038049178,0.93554554,3,low,smb,0.3748616,18,0,0
124,472,0.728637022,0.949898984,4,low,smb,0.756896877,6,1,1
37,340,0.528068081,0.114829032,8,medium,smb,0.295070227,1,0,0
24,357,0.202080936,0.956553967,6,medium,ssh,0.117094081,5,0,0
93,340,0.11007376,0.368270325,7,medium,api,0.25753545,3,0,0
46,204,0.383387864,0.646252518,2,high,api,0.387344732,1,0,0
181,161,0.837161964,0.034750082,3,low,ssh,0.05220471,16,0,0
95,28,0.865294559,0.888884274,6,low,smb,0.478680254,7,0,1
99,392,0.60284638,0.641597329,3,high,smb,0.740007513,4,0,0
188,257,0.727536427,0.643554467,1,low,ssh,0.513745144,9,0,0
116,165,0.115155787,0.90217616,9,low,ssh,0.071895341,15,1,1
191,63,0.588126065,0.508347175,5,low,rdp,0.440149631,1,0,0
160,22,0.666965703,0.41051664,8,medium,ssh,0.708904608,18,0,1
161,70,0.200712843,0.866128752,1,low,api,0.058096654,6,0,0
67,381,0.880154733,0.742420512,0,low,ssh,0.05984719,1,0,0
128,405,0.194996738,0.948975665,7,low,smb,0.370601403,12,1,1
18,96,0.31347736,0.940121893,0,medium,smb,0.194963964,3,0,0
25,163,0.620556847,0.382326165,0,low,smb,0.934780791,15,0,0
54,79,0.638350065,0.44698629,2,low,api,0.581343604,9,0,0
58,5,0.699384741,0.255984954,4,medium,api,0.287325399,16,0,0
67,316,0.112011713,0.660647889,8,high,rdp,0.704776729,13,0,0
104,120,0.84946443,0.36454197,9,medium,ssh,0.374929051,11,0,0
174,302,0.532847132,0.786100647,1,medium,rdp,0.132115644,12,0,0
24,178,0.471321794,0.121550761,0,low,ssh,0.23723223,19,0,0
114,176,0.981097625,0.116402851,0,low,ssh,0.642747284,7,0,0
